MatchId,Champion,Role,Win,Minutes,Kills,Deaths,Assists,DamageDealt,DamageTaken,Gold,CS,VisionScore,TurretKills,InhibitorKills,WardsPlaced,WardsKilled,FirstTower,FirstBlood
NA1_5257320382,Yone,MIDDLE,1,24.933333333333334,16,4,6,41470,23121,14001,180,11,3,1,7,0,0,0
NA1_5240385144,Yone,TOP,0,39.28333333333333,9,8,7,52290,49256,15954,245,24,3,0,14,1,0,0
NA1_5239744442,Yone,TOP,1,30.05,3,13,0,19116,33318,9252,164,13,1,0,7,1,0,0
NA1_5238969656,Yone,TOP,0,26.383333333333333,3,12,1,14976,27707,8939,168,9,1,0,6,1,0,0
NA1_5237177623,Yone,TOP,1,35.766666666666666,2,9,10,23029,32250,13664,212,16,7,0,9,1,1,0
NA1_5233757435,Yone,TOP,0,23.683333333333334,1,14,5,13151,26257,6765,115,11,0,0,8,0,0,0
NA1_5233736196,Yone,TOP,0,30.783333333333335,4,12,9,34070,36756,11091,170,18,2,0,9,1,0,0
NA1_5233157912,Yone,TOP,0,27.366666666666667,3,9,3,19641,28015,9382,167,14,1,0,7,2,0,0
NA1_5227023016,Yone,MIDDLE,1,25.766666666666666,5,10,4,17200,27214,9631,139,6,3,0,3,0,0,0
NA1_5226885189,Yone,TOP,1,27.683333333333334,18,5,7,48558,30585,15389,159,16,3,0,7,2,1,0
NA1_5226592624,Yone,MIDDLE,1,47.95,12,18,7,53422,66140,20064,249,20,2,1,10,1,0,0
NA1_5226125967,Yone,MIDDLE,1,26.216666666666665,12,6,3,28236,27695,12083,161,18,2,1,9,2,1,0
NA1_5225440818,Yone,MIDDLE,1,27.95,23,5,4,51426,27935,17720,194,12,4,0,8,0,1,0
NA1_5223399260,Yone,TOP,1,28.566666666666666,19,7,4,51353,33412,15069,157,15,3,0,8,0,0,1
