,coef,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
Kills_pm,1.7309929479202188,0.008773676603474358,0.4364456631282796,3.0255402327121583,5.64625756560483,1.5471981702999795,20.605133271950983
InhibitorKills_pm,1.7450837536159276,0.01016372022575379,0.414335388604149,3.075832118627706,5.726381060457528,1.5133646070212274,21.667904679038603
DamageTaken_pm,-0.8877589933514196,0.0717767271613607,-1.8541266950003843,0.07860870829754507,0.41157706697461155,0.1565896334896959,1.08178094733564
TurretKills_pm,0.8577190968860192,0.11167029986470849,-0.19909022480498118,1.9145284185770195,2.3577766956438526,0.8194759529393063,6.783738957295523
Assists_pm,0.7058372231810952,0.1156143121894447,-0.17338628272481482,1.5850607290870053,2.0255418057801706,0.8408127606616357,4.879587702421031
WardsKilled_pm,-0.3656839126747375,0.36702415308829883,-1.1602275549599974,0.4288597296105224,0.6937220433032503,0.31341485366299393,1.5355056333172754
Deaths_pm,-0.527008141232592,0.38631982226546335,-1.7193251986586628,0.6653089161934789,0.5903686296125704,0.17918702276696252,1.9450912987370943
CS_pm,-0.3502884631891746,0.44445881846525925,-1.248112125012434,0.5475351986340848,0.7044848424610652,0.2870461929833018,1.7289861541074778
VisionScore_pm,-0.1284504378333971,0.7456538147059073,-0.9045826731236704,0.647681797456876,0.8794571491400266,0.40471074653703,1.9111053605361445
