feature,VIF
Gold_pm,18.550605189407953
Kills_pm,9.728488945457896
VisionScore_pm,5.362240810201697
DamageDealt_pm,4.874767763778744
WardsPlaced_pm,4.194998132586179
Deaths_pm,3.5214733536315226
DamageTaken_pm,3.3431741672850874
CS_pm,3.1631687189921234
TurretKills_pm,2.5001156588681708
WardsKilled_pm,2.20387808091057
Assists_pm,1.484947729684626
InhibitorKills_pm,1.2409559166727357
