metric,mean_win,mean_loss,t_stat,p_raw,cohens_d,p_fdr,sig_fdr
TurretKills_pm,0.09428620989906526,0.03851425905911164,6.918968047957092,4.72269897715146e-10,1.3040546811955254,5.667238772581752e-09,True
Kills_pm,0.3284338660358272,0.14563165420520754,6.655931116764204,1.650736693623474e-09,1.2700577714954449,9.904420161740844e-09,True
Gold_pm,468.6056233067221,380.94410286361455,5.922434745371521,7.19020198204225e-08,1.2172631733732184,2.8760807928169e-07,True
InhibitorKills_pm,0.012612060194280177,0.0006180469715698393,5.740990715993723,2.2391551383586885e-07,0.9794820806607668,6.717465415076066e-07,True
Deaths_pm,0.22438000826799917,0.32838612094924013,-5.534131545810342,3.189287094186277e-07,-1.1128314333685203,7.654289026047065e-07,True
DamageDealt_pm,1217.660996793082,837.5659551743338,3.986974133669665,0.00014494073588528216,0.8197022030148897,0.0002898814717705643,True
Assists_pm,0.16945419001303072,0.10770230167225336,3.352769979875841,0.0011901517086429976,0.6784685618104624,0.0020402600719594244,True
CS_pm,6.663581262259826,6.420480971955847,1.2256275198874214,0.2234733964320883,0.2426366418610639,0.30108983848909826,False
WardsPlaced_pm,0.27872003069807416,0.2649541465798316,1.2196976780599216,0.22581737886682368,0.24464678111029683,0.30108983848909826,False
VisionScore_pm,0.5037281503434065,0.4776022764079529,1.1031939515598033,0.2735683336898864,0.2336728651166317,0.3193769125133619,False
WardsKilled_pm,0.02501008364478244,0.03173328651694185,-1.059622063954339,0.29276216980391506,-0.2236222032261947,0.3193769125133619,False
DamageTaken_pm,1082.0488864164013,1059.8868484641703,0.5716129542875287,0.5691531796880579,0.11749640387699022,0.5691531796880579,False
